id,name,product_id/id,type,product_qty,product_uom,is_bom_template,bom_template_type,bom_product_type,new_name_format,W,L,T,mat_model_choices,mat_joint_choices,mat_insulation_choices,mat_inside_skin_choices,mat_outside_skin_choices,mat_camlock_choices,mat_window_choices
mrp.template_slipjoint_ahu,Slip Joint (AHU & Cold Room),product.template_slipjoint_ahu,normal,1,EA,TRUE,formula,panel,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,"25,42,50,75,100,125,150",,"MF (Male-Female),MM (Male-Male),FF (Female-Female),MN (Male-None),FN (Female-None),NN (None-None)","PU,PIR","0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS","0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS","AHU 500mm,Cold Room 1000mm",
mrp.template_slipjoint_cr_ahu,Slip Joint (Clean Room),product.template_slipjoint_cr_ahu,normal,1,EA,TRUE,formula,panel,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,"25,42,50,75,100,125,150",,"MF (Male-Female),MM (Male-Male),FF (Female-Female),MN (Male-None),FN (Female-None),NN (None-None)","PU,PIR","0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS","0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS",,
mrp.template_slipjoint_std_ahu,Standard AHU,product.template_slipjoint_std_ahu,normal,1,EA,TRUE,formula,panel,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,"25,50","Amair AD,Amair AF,Amair AG,Amair AH,Amair AI,Amair AJ,Amair AL,Amair AS,B.Grimm Access,B.Grimm Panel",NN (None-None),"PU,PIR","0.5 mm PP (OW),0.4 mm GI,0.5 mm SS","0.5 mm PP (OW),0.4 mm GI,0.5 mm SS",,
mrp.template_slipjoint_rockwool,Slip Joint (Rockwool),product.template_slipjoint_rockwool,normal,1,EA,TRUE,formula,panel,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,"50,75,100",,"MF (Male-Female),MM (Male-Male),FF (Female-Female),MN (Male-None),FN (Female-None),NN (None-None)",Rockwool,"0.5 mm PP (OW),0.8 mm GI","0.5 mm PP (OW),0.8 mm GI",,
mrp.template_firejoint_rockwool,Fire Joint (Rockwool),product.template_firejoint_rockwool,normal,1,EA,TRUE,formula,panel,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,50100,,"MF (Male-Female),MM (Male-Male),FF (Female-Female)",Rockwool,"0.5 mm PP (OW),0.8 mm GI","0.5 mm PP (OW),0.8 mm GI",,
mrp.template_nonprogressive_joint,Non-Progressive Joint (Rockwool),product.template_nonprogressive_joint,normal,1,EA,TRUE,formula,panel,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,"50,75,100",,MF (Male-Female),Rockwool,0.8 mm GI,0.8 mm GI,,
mrp.template_foamslab,Foam Slab,product.template_foamslab,normal,1,EA,TRUE,formula,panel,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,"25,42,50,75,100,125,150",,,"PU,PIR",,,,
mrp.template_single_door_flat,Single Door (Flat Type),product.template_single_door_flat,normal,1,EA,TRUE,formula,door,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,"42(F42),50(F50),42(F100),50(F100)",,,PU,"0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS","0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS",,"None,Single Glass,Double Glass"
mrp.template_double_door_unseq,Double Door (Flat Type / Un-Sequence),product.template_double_door_unseq,normal,1,EA,TRUE,formula,door,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,"42(F42),50(F50),42(F100),50(F100)",,,PU,"0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS","0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS",,"None,Single Glass,Double Glass"
mrp.template_double_door_seq,Double Door (Flat Type / Sequence),product.template_double_door_seq,normal,1,EA,TRUE,formula,door,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,"42(F42),50(F50),42(F100),50(F100)",,,PU,"0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS","0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS",,"None,Single Glass,Double Glass"
mrp.template_single_sliding_door,Single Sliding Door,product.template_single_sliding_door,normal,1,EA,TRUE,formula,door,line.part_name + (object.order_id and ('|' + object.order_id.name) or ''),TRUE,TRUE,42,,,PU,"0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS","0.5 mm PP (OW),0.45 mm PP (AW),0.4 mm GI,0.5 mm SS",,"None,Single Glass,Double Glass"
