id,wizard_id/id,bom_product_type,mat_model_choices,part_name,part_code,bom_template_id,W,L,T,mat_joint_choices,mat_inside_skin_choices,mat_outside_skin_choices,mat_insulation_choices,list_price,partner_id
B_Grimm_Panel_150828_line_1,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-03 PANEL,463P0642,Standard AHU,48,298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,12,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_2,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-04 PANEL,463P0643,Standard AHU,48,398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,16,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_3,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-06 PANEL,463P0645,Standard AHU,48,598,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,24,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_4,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-07 PANEL,463P0646,Standard AHU,48,698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,28,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_5,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-08 PANEL,463P0647,Standard AHU,48,798,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,32,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_6,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-09 PANEL,463P0648,Standard AHU,48,898,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,36,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_7,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-10 PANEL,463P0649,Standard AHU,48,998,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,40,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_8,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-12 PANEL,463P0651,Standard AHU,48,1198,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,47,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_9,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-13 PANEL,463P0652,Standard AHU,48,1298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,51,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_10,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-14 PANEL,463P0653,Standard AHU,48,1398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,55,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_11,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-15 PANEL,463P0654,Standard AHU,48,1498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,59,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_12,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-16 PANEL,463P0655,Standard AHU,48,1598,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,63,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_13,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN0.5-17 PANEL,463P0656,Standard AHU,48,1698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,67,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_14,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-03 PANEL,463P0657,Standard AHU,98,298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,24,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_15,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-04 PANEL,463P0658,Standard AHU,98,398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,32,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_16,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-27 PANEL,463P0659,Standard AHU,98,2698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,218,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_17,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-28 PANEL,463P0660,Standard AHU,98,2798,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,226,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_18,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-29 PANEL,463P0661,Standard AHU,98,2898,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,234,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_19,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-30 PANEL,463P0662,Standard AHU,98,2998,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,242,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_20,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-31 PANEL,463P0663,Standard AHU,98,3098,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,250,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_21,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-32 PANEL,463P0664,Standard AHU,98,3198,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,259,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_22,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-33 PANEL,463P0665,Standard AHU,98,3298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,267,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_23,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-34 PANEL,463P0666,Standard AHU,98,3398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,275,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_24,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-35 PANEL,463P0667,Standard AHU,98,3498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,283,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_25,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN01-36 PANEL,463P0668,Standard AHU,98,3598,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,291,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_26,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X03 PANEL,463P0669,Standard AHU,148,298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,36,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_27,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X05 PANEL,463P0671,Standard AHU,148,498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,61,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_28,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X07 PANEL,463P0673,Standard AHU,148,698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,85,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_29,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X10 PANEL,463P0676,Standard AHU,148,998,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,122,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_30,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X11 PANEL,463P0677,Standard AHU,148,1098,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,134,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_31,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X14 PANEL,463P0680,Standard AHU,148,1398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,171,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_32,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X15 PANEL,463P0681,Standard AHU,148,1498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,183,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_33,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X16 PANEL,463P0682,Standard AHU,148,1598,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,195,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_34,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X17 PANEL,463P0683,Standard AHU,148,1698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,207,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_35,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X18 PANEL,463P0684,Standard AHU,148,1798,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,220,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_36,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X19 PANEL,463P0685,Standard AHU,148,1898,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,232,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_37,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X20 PANEL,463P0686,Standard AHU,148,1998,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,244,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_38,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X21 PANEL,463P0687,Standard AHU,148,2098,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,256,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_39,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X22 PANEL,463P0688,Standard AHU,148,2198,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,268,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_40,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X23 PANEL,463P0689,Standard AHU,148,2298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,281,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_41,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X24 PANEL,463P0690,Standard AHU,148,2398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,293,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_42,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X25 PANEL,463P0691,Standard AHU,148,2498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,305,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_43,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X26 PANEL,463P0692,Standard AHU,148,2598,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,317,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_44,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X27 PANEL,463P0693,Standard AHU,148,2698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,329,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_45,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X28 PANEL,463P0694,Standard AHU,148,2798,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,342,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_46,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X29 PANEL,463P0695,Standard AHU,148,2898,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,354,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_47,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X30 PANEL,463P0696,Standard AHU,148,2998,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,366,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_48,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X31 PANEL,463P0697,Standard AHU,148,3098,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,378,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_49,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X32 PANEL,463P0698,Standard AHU,148,3198,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,390,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_50,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X33 PANEL,463P0699,Standard AHU,148,3298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,403,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_51,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X34 PANEL,463P0700,Standard AHU,148,3398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,415,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_52,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X35 PANEL,463P0701,Standard AHU,148,3498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,427,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_53,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN1.5X36 PANEL,463P0702,Standard AHU,148,3598,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,439,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_54,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-03 PANEL,463P0703,Standard AHU,198,298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,49,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_55,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-04 PANEL,463P0704,Standard AHU,198,398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,65,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_56,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-27 PANEL,463P0705,Standard AHU,198,2698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,441,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_57,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-28 PANEL,463P0706,Standard AHU,198,2798,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,457,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_58,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-29 PANEL,463P0707,Standard AHU,198,2898,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,473,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_59,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-30 PANEL,463P0708,Standard AHU,198,2998,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,490,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_60,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-31 PANEL,463P0709,Standard AHU,198,3098,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,506,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_61,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-32 PANEL,463P0710,Standard AHU,198,3198,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,522,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_62,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-33 PANEL,463P0711,Standard AHU,198,3298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,539,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_63,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-34 PANEL,463P0712,Standard AHU,198,3398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,555,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_64,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-35 PANEL,463P0713,Standard AHU,198,3498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,571,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_65,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN02-36 PANEL,463P0714,Standard AHU,198,3598,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,588,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_66,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-03 PANEL,463P0715,Standard AHU,248,298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,61,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_67,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-04 PANEL,463P0716,Standard AHU,248,398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,81,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_68,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-05 PANEL,463P0717,Standard AHU,248,498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,102,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_69,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-07 PANEL,463P0719,Standard AHU,248,698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,143,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_70,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-08 PANEL,463P0720,Standard AHU,248,798,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,163,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_71,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-10 PANEL,463P0722,Standard AHU,248,998,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,204,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_72,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-11 PANEL,463P0723,Standard AHU,248,1098,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,225,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_73,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-12 PANEL,463P0724,Standard AHU,248,1198,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,245,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_74,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-15 PANEL,463P0727,Standard AHU,248,1498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,306,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_75,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-18 PANEL,463P0730,Standard AHU,248,1798,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,368,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_76,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-19 PANEL,463P0731,Standard AHU,248,1898,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,388,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_77,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-20 PANEL,463P0732,Standard AHU,248,1998,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,409,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_78,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-23 PANEL,463P0735,Standard AHU,248,2298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,470,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_79,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-24 PANEL,463P0736,Standard AHU,248,2398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,491,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_80,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-25 PANEL,463P0737,Standard AHU,248,2498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,511,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_81,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-26 PANEL,463P0738,Standard AHU,248,2598,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,532,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_82,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-27 PANEL,463P0739,Standard AHU,248,2698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,552,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_83,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-28 PANEL,463P0740,Standard AHU,248,2798,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,572,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_84,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-29 PANEL,463P0741,Standard AHU,248,2898,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,593,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_85,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-30 PANEL,463P0742,Standard AHU,248,2998,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,613,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_86,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-31 PANEL,463P0743,Standard AHU,248,3098,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,634,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_87,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-32 PANEL,463P0744,Standard AHU,248,3198,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,654,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_88,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-33 PANEL,463P0745,Standard AHU,248,3298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,675,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_89,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-34 PANEL,463P0746,Standard AHU,248,3398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,695,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_90,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-35 PANEL,463P0747,Standard AHU,248,3498,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,716,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_91,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN2.5-36 PANEL,463P0748,Standard AHU,248,3598,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,736,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_92,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN03-03 PANEL,463P0749,Standard AHU,298,298,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,73,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_93,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN03-04 PANEL,463P0750,Standard AHU,298,398,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,98,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
B_Grimm_Panel_150828_line_94,B_Grimm_Panel_150828,panel,B.Grimm Panel,39GPN03-27 PANEL,463P0751,Standard AHU,298,2698,25,NN (None-None),0.4 mm GI,0.5 mm PP (OW),PU,663,บริษัท บี.กริม แอร์คอนดิชั่นนิ่ง จำกัด
